Country,Financial reasons,No interest,None in the neighbourhood,Other
Belgium,8.8,60.2,0.5,30.4
Bulgaria,14.9,26.4,4.4,54.3
Czechia,6.4,54.1,1.1,38.4
Denmark,6.6,56.8,3.4,33.3
Germany (until 1990 former territory of the FRG),14.0,48.6,4.5,32.8
Estonia,6.5,51.7,6.0,35.7
Ireland,8.1,64.7,4.6,22.5
Greece,14.0,79.1,1.7,5.3
Spain,15.0,46.2,3.0,35.8
France,6.4,63.5,5.0,25.1
Croatia,5.2,35.2,1.7,57.9
Italy,8.5,44.0,2.4,45.0
Cyprus,7.3,65.2,0.3,27.1
Latvia,9.1,57.6,3.9,29.3
Lithuania,14.3,47.9,5.8,32.0
Luxembourg,3.2,55.7,1.3,39.7
Hungary,10.4,59.6,2.1,27.9
Malta,4.3,57.3,0.5,38.0
Netherlands,10.5,67.4,2.9,19.1
Austria,7.1,71.5,4.6,16.8
Poland,7.4,47.7,6.4,38.5
Portugal,9.9,68.0,3.3,18.8
Romania,11.3,28.9,18.4,41.3
Slovenia,16.6,58.1,6.1,19.2
Slovakia,6.8,62.5,2.5,28.2
Finland,3.5,53.4,10.7,32.5
Sweden,5.4,62.5,8.9,23.3
Iceland,5.8,58.6,6.9,28.8
Norway,2.9,61.9,6.6,28.6
Switzerland,5.5,57.1,4.2,33.1
United Kingdom,12.4,58.9,5.8,23.0
Serbia,13.1,48.6,3.0,35.3
